WOT-BUILTIN-DATA,1
china-Ch01_Type59,china,8,medium,premium
germany-B-1bis_captured,germany,4,heavy,premium
germany-Bison_I,germany,2,artillery,normal
germany-E-100,germany,10,heavy,normal
germany-E-50,germany,9,medium,normal
germany-E-75,germany,9,heavy,normal
germany-Ferdinand,germany,8,destroyer,normal
germany-G_E,germany,8,artillery,normal
germany-G_Panther,germany,6,artillery,normal
germany-G_Tiger,germany,7,artillery,normal
germany-G20_Marder_II,germany,3,destroyer,normal
germany-Grille,germany,4,artillery,normal
germany-H39_captured,germany,2,light,premium
germany-Hetzer,germany,4,destroyer,normal
germany-Hummel,germany,5,artillery,normal
germany-JagdPanther,germany,7,destroyer,normal
germany-JagdPzIV,germany,6,destroyer,normal
germany-JagdTiger,germany,9,destroyer,normal
germany-Lowe,germany,8,heavy,premium
germany-Ltraktor,germany,1,light,normal
germany-Maus,germany,10,heavy,normal
germany-Panther_II,germany,8,medium,normal
germany-PanzerJager_I,germany,2,destroyer,normal
germany-Pz35t,germany,2,light,normal
germany-Pz38_NA,germany,4,light,normal
germany-Pz38t,germany,3,light,normal
germany-PzII,germany,2,light,normal
germany-PzII_J,germany,3,light,premium
germany-PzII_Luchs,germany,3,light,normal
germany-PzIII,germany,4,medium,normal
germany-PzIII_A,germany,3,light,normal
germany-PzIII_IV,germany,5,medium,normal
germany-PzIV,germany,5,medium,normal
germany-PzIV_Hydro,germany,5,medium,premium
germany-PzV,germany,7,medium,normal
germany-PzV_PzIV,germany,6,medium,premium
germany-PzV_PzIV_ausf_Alfa,germany,6,medium,special
germany-PzVI,germany,7,heavy,normal
germany-PzVI_Tiger_P,germany,7,heavy,normal
germany-PzVIB_Tiger_II,germany,8,heavy,normal
germany-S35_captured,germany,3,medium,premium
germany-StugIII,germany,5,destroyer,normal
germany-Sturmpanzer_II,germany,3,artillery,normal
germany-T-15,germany,3,light,premium
germany-T-25,germany,5,medium,premium
germany-VK1602,germany,4,light,normal
germany-VK2801,germany,5,light,normal
germany-VK3001H,germany,6,medium,normal
germany-VK3001P,germany,6,medium,normal
germany-VK3002DB,germany,7,medium,normal
germany-VK3601H,germany,6,medium,normal
germany-VK4502A,germany,8,heavy,normal
germany-VK4502P,germany,9,heavy,normal
germany-Wespe,germany,3,artillery,normal
usa-M10_Wolverine,usa,5,destroyer,normal
usa-M12,usa,6,artillery,normal
usa-M2_lt,usa,2,light,normal
usa-M2_med,usa,3,medium,normal
usa-M22_Locust,usa,3,light,premium
usa-M24_Chaffee,usa,5,light,normal
usa-M3_Grant,usa,4,medium,normal
usa-M3_Stuart,usa,3,light,normal
