WOT-BUILTIN-DATA,1
france-AMX_12t,france,5,light,normal
france-AMX_13_75,france,6,light,normal
france-AMX_13_90,france,7,light,normal
france-AMX_50_100,france,8,heavy,normal
france-AMX_50_120,france,9,heavy,normal
france-AMX_M4_1945,france,7,heavy,normal
france-AMX38,france,3,light,normal
france-AMX40,france,4,light,normal
france-ARL_44,france,6,heavy,normal
france-B1,france,4,heavy,normal
france-Bat_Chatillon25t,france,9,medium,normal
france-BDR_G1B,france,5,heavy,normal
france-D1,france,2,light,normal
france-D2,france,3,medium,normal
france-F10_AMX_50B,france,10,heavy,normal
france-Hotchkiss_H35,france,2,light,normal
france-Lorraine40t,france,8,medium,normal
france-RenaultFT,france,1,light,normal
ussr-Tetrarch_LL,ussr,2,light,special
